name,address,distance,distance_type,rating,capaciity,area,price
Luxury Gold Apartment 86- Millenium - Central city,"District 4, Ho Chi Minh City",0.9,km,8.7,5 adult,120m˝,"3,000,000"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,5 adult,null,"1,220,000"
Nh? Uyàn Service Apartment SOHO,"District 1, Ho Chi Minh City",1,km,9,5 adult,40m˝,"3,120,000"
La Casona Hotel,"District 7, Ho Chi Minh City",4.5,km,8.9,5 adult,25m˝,"1,561,518"
HANZ Happy Hotel,"District 10, Ho Chi Minh City",2.3,km,5,5 adult,null,"2,445,300"
The Saigon Royal one bedroom stunning view,"District 4, Ho Chi Minh City",0.8,km,8.3,5 adult,null,"2,000,000"
kh†ch s?n Thiàn Cung,"Tan Binh, Ho Chi Minh City",6.1,km,6.7,5 adult,null,"1,530,000"
C?n h? Orchard Parkview - Tan Son Nhat Airport Homestay,"Phu Nhuan, Ho Chi Minh City",5,km,8.9,5 adult,36m˝,"1,850,000"
Air Star Hotel,"Tan Binh, Ho Chi Minh City",5.3,km,8,5 adult,null,"2,458,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,5 adult,25m˝,"3,800,000"
RedDoorz Plus near Ben Thanh Market,"District 1, Ho Chi Minh City",0.9,km,6.5,5 adult,null,"1,580,886"
Sunflowers Hotel,"Tan Binh, Ho Chi Minh City",5.4,km,6.7,5 adult,null,"1,319,625"
Sophia Hotel,"District 1, Ho Chi Minh City",1.1,km,6.6,5 adult,null,"2,228,700"
Melinda Hotel,"Tan Binh, Ho Chi Minh City",6.7,km,7.2,5 adult,null,"1,130,000"
Ngoc Linh Hotel,"Binh Thanh, Ho Chi Minh City",5.3,km,7.6,5 adult,20m˝,"936,000"
Phu Gia Hotel 193 Nguyen Thai Hoc Street,"District 1, Ho Chi Minh City",500,m,6.9,5 adult,null,"1,464,053"
Phuc An home,"Tan Phu District, Ho Chi Minh City",9.9,km,null,5 adult,null,"1,599,200"
RedDoorz Trang Thu 2 Hotel Le Hong Phong,"District 10, Ho Chi Minh City",2.6,km,7.5,5 adult,null,"981,180"
"C?N H? 2PN - 2WC, N?I TH?T HI?N ??I V? C? B?N T?M N?M","Binh Thanh, Ho Chi Minh City",3.6,km,null,5 adult,null,"2,880,000"
QLai House,"District 1, Ho Chi Minh City",1,km,null,5 adult,null,"3,078,000"
RedDoorz Quynh Giang Hotel Hoang Viet,"Tan Binh, Ho Chi Minh City",5.1,km,6.3,5 adult,null,"540,000"
Nh?t An Hotel,"Binh Thanh, Ho Chi Minh City",4.6,km,5.9,5 adult,null,"1,000,000"
Luxury Gold Apartment 86- Millenium - Central city,"District 4, Ho Chi Minh City",0.9,km,8.7,5 adult,120m˝,"3,000,000"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,5 adult,null,"1,220,000"
Nh? Uyàn Service Apartment SOHO,"District 1, Ho Chi Minh City",1,km,9,5 adult,40m˝,"3,120,000"
La Casona Hotel,"District 7, Ho Chi Minh City",4.5,km,8.9,5 adult,25m˝,"1,561,518"
HANZ Happy Hotel,"District 10, Ho Chi Minh City",2.3,km,5,5 adult,null,"2,445,300"
The Saigon Royal one bedroom stunning view,"District 4, Ho Chi Minh City",0.8,km,8.3,5 adult,null,"2,000,000"
kh†ch s?n Thiàn Cung,"Tan Binh, Ho Chi Minh City",6.1,km,6.7,5 adult,null,"1,530,000"
C?n h? Orchard Parkview - Tan Son Nhat Airport Homestay,"Phu Nhuan, Ho Chi Minh City",5,km,8.9,5 adult,36m˝,"1,850,000"
Air Star Hotel,"Tan Binh, Ho Chi Minh City",5.3,km,8,5 adult,null,"2,458,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,5 adult,25m˝,"3,800,000"
RedDoorz Plus near Ben Thanh Market,"District 1, Ho Chi Minh City",0.9,km,6.5,5 adult,null,"1,580,886"
Sunflowers Hotel,"Tan Binh, Ho Chi Minh City",5.4,km,6.7,5 adult,null,"1,319,625"
Sophia Hotel,"District 1, Ho Chi Minh City",1.1,km,6.6,5 adult,null,"2,228,700"
Melinda Hotel,"Tan Binh, Ho Chi Minh City",6.7,km,7.2,5 adult,null,"1,130,000"
Ngoc Linh Hotel,"Binh Thanh, Ho Chi Minh City",5.3,km,7.6,5 adult,20m˝,"936,000"
Phu Gia Hotel 193 Nguyen Thai Hoc Street,"District 1, Ho Chi Minh City",500,m,6.9,5 adult,null,"1,464,053"
Phuc An home,"Tan Phu District, Ho Chi Minh City",9.9,km,null,5 adult,null,"1,599,200"
RedDoorz Trang Thu 2 Hotel Le Hong Phong,"District 10, Ho Chi Minh City",2.6,km,7.5,5 adult,null,"981,180"
"C?N H? 2PN - 2WC, N?I TH?T HI?N ??I V? C? B?N T?M N?M","Binh Thanh, Ho Chi Minh City",3.6,km,null,5 adult,null,"2,880,000"
QLai House,"District 1, Ho Chi Minh City",1,km,null,5 adult,null,"3,078,000"
RedDoorz Quynh Giang Hotel Hoang Viet,"Tan Binh, Ho Chi Minh City",5.1,km,6.3,5 adult,null,"540,000"
Nh?t An Hotel,"Binh Thanh, Ho Chi Minh City",4.6,km,5.9,5 adult,null,"1,000,000"
Luxury Gold Apartment 86- Millenium - Central city,"District 4, Ho Chi Minh City",0.9,km,8.7,5 adult,120m˝,"3,000,000"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,5 adult,null,"1,220,000"
Nh? Uyàn Service Apartment SOHO,"District 1, Ho Chi Minh City",1,km,9,5 adult,40m˝,"3,120,000"
La Casona Hotel,"District 7, Ho Chi Minh City",4.5,km,8.9,5 adult,25m˝,"1,561,518"
HANZ Happy Hotel,"District 10, Ho Chi Minh City",2.3,km,5,5 adult,null,"2,445,300"
The Saigon Royal one bedroom stunning view,"District 4, Ho Chi Minh City",0.8,km,8.3,5 adult,null,"2,000,000"
kh†ch s?n Thiàn Cung,"Tan Binh, Ho Chi Minh City",6.1,km,6.7,5 adult,null,"1,530,000"
C?n h? Orchard Parkview - Tan Son Nhat Airport Homestay,"Phu Nhuan, Ho Chi Minh City",5,km,8.9,5 adult,36m˝,"1,850,000"
Air Star Hotel,"Tan Binh, Ho Chi Minh City",5.3,km,8,5 adult,null,"2,458,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,5 adult,25m˝,"3,800,000"
RedDoorz Plus near Ben Thanh Market,"District 1, Ho Chi Minh City",0.9,km,6.5,5 adult,null,"1,580,886"
Sunflowers Hotel,"Tan Binh, Ho Chi Minh City",5.4,km,6.7,5 adult,null,"1,319,625"
Sophia Hotel,"District 1, Ho Chi Minh City",1.1,km,6.6,5 adult,null,"2,228,700"
Melinda Hotel,"Tan Binh, Ho Chi Minh City",6.7,km,7.2,5 adult,null,"1,130,000"
Ngoc Linh Hotel,"Binh Thanh, Ho Chi Minh City",5.3,km,7.6,5 adult,20m˝,"936,000"
Phu Gia Hotel 193 Nguyen Thai Hoc Street,"District 1, Ho Chi Minh City",500,m,6.9,5 adult,null,"1,464,053"
Phuc An home,"Tan Phu District, Ho Chi Minh City",9.9,km,null,5 adult,null,"1,599,200"
RedDoorz Trang Thu 2 Hotel Le Hong Phong,"District 10, Ho Chi Minh City",2.6,km,7.5,5 adult,null,"981,180"
"C?N H? 2PN - 2WC, N?I TH?T HI?N ??I V? C? B?N T?M N?M","Binh Thanh, Ho Chi Minh City",3.6,km,null,5 adult,null,"2,880,000"
QLai House,"District 1, Ho Chi Minh City",1,km,null,5 adult,null,"3,078,000"
RedDoorz Quynh Giang Hotel Hoang Viet,"Tan Binh, Ho Chi Minh City",5.1,km,6.3,5 adult,null,"540,000"
Nh?t An Hotel,"Binh Thanh, Ho Chi Minh City",4.6,km,5.9,5 adult,null,"1,000,000"
Luxury Gold Apartment 86- Millenium - Central city,"District 4, Ho Chi Minh City",0.9,km,8.7,5 adult,120m˝,"3,000,000"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,5 adult,null,"1,220,000"
Nh? Uyàn Service Apartment SOHO,"District 1, Ho Chi Minh City",1,km,9,5 adult,40m˝,"3,120,000"
La Casona Hotel,"District 7, Ho Chi Minh City",4.5,km,8.9,5 adult,25m˝,"1,561,518"
HANZ Happy Hotel,"District 10, Ho Chi Minh City",2.3,km,5,5 adult,null,"2,445,300"
The Saigon Royal one bedroom stunning view,"District 4, Ho Chi Minh City",0.8,km,8.3,5 adult,null,"2,000,000"
kh†ch s?n Thiàn Cung,"Tan Binh, Ho Chi Minh City",6.1,km,6.7,5 adult,null,"1,530,000"
C?n h? Orchard Parkview - Tan Son Nhat Airport Homestay,"Phu Nhuan, Ho Chi Minh City",5,km,8.9,5 adult,36m˝,"1,850,000"
Air Star Hotel,"Tan Binh, Ho Chi Minh City",5.3,km,8,5 adult,null,"2,458,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,5 adult,25m˝,"3,800,000"
RedDoorz Plus near Ben Thanh Market,"District 1, Ho Chi Minh City",0.9,km,6.5,5 adult,null,"1,580,886"
Sunflowers Hotel,"Tan Binh, Ho Chi Minh City",5.4,km,6.7,5 adult,null,"1,319,625"
Sophia Hotel,"District 1, Ho Chi Minh City",1.1,km,6.6,5 adult,null,"2,228,700"
Melinda Hotel,"Tan Binh, Ho Chi Minh City",6.7,km,7.2,5 adult,null,"1,130,000"
Ngoc Linh Hotel,"Binh Thanh, Ho Chi Minh City",5.3,km,7.6,5 adult,20m˝,"936,000"
Phu Gia Hotel 193 Nguyen Thai Hoc Street,"District 1, Ho Chi Minh City",500,m,6.9,5 adult,null,"1,464,053"
Phuc An home,"Tan Phu District, Ho Chi Minh City",9.9,km,null,5 adult,null,"1,599,200"
RedDoorz Trang Thu 2 Hotel Le Hong Phong,"District 10, Ho Chi Minh City",2.6,km,7.5,5 adult,null,"981,180"
"C?N H? 2PN - 2WC, N?I TH?T HI?N ??I V? C? B?N T?M N?M","Binh Thanh, Ho Chi Minh City",3.6,km,null,5 adult,null,"2,880,000"
QLai House,"District 1, Ho Chi Minh City",1,km,null,5 adult,null,"3,078,000"
RedDoorz Quynh Giang Hotel Hoang Viet,"Tan Binh, Ho Chi Minh City",5.1,km,6.3,5 adult,null,"540,000"
Nh?t An Hotel,"Binh Thanh, Ho Chi Minh City",4.6,km,5.9,5 adult,null,"1,000,000"
Luxury Gold Apartment 86- Millenium - Central city,"District 4, Ho Chi Minh City",0.9,km,8.7,5 adult,120m˝,"3,000,000"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,5 adult,null,"1,220,000"
Nh? Uyàn Service Apartment SOHO,"District 1, Ho Chi Minh City",1,km,9,5 adult,40m˝,"3,120,000"
La Casona Hotel,"District 7, Ho Chi Minh City",4.5,km,8.9,5 adult,25m˝,"1,561,518"
HANZ Happy Hotel,"District 10, Ho Chi Minh City",2.3,km,5,5 adult,null,"2,445,300"
The Saigon Royal one bedroom stunning view,"District 4, Ho Chi Minh City",0.8,km,8.3,5 adult,null,"2,000,000"
kh†ch s?n Thiàn Cung,"Tan Binh, Ho Chi Minh City",6.1,km,6.7,5 adult,null,"1,530,000"
C?n h? Orchard Parkview - Tan Son Nhat Airport Homestay,"Phu Nhuan, Ho Chi Minh City",5,km,8.9,5 adult,36m˝,"1,850,000"
Air Star Hotel,"Tan Binh, Ho Chi Minh City",5.3,km,8,5 adult,null,"2,458,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,5 adult,25m˝,"3,800,000"
RedDoorz Plus near Ben Thanh Market,"District 1, Ho Chi Minh City",0.9,km,6.5,5 adult,null,"1,580,886"
Sunflowers Hotel,"Tan Binh, Ho Chi Minh City",5.4,km,6.7,5 adult,null,"1,319,625"
Sophia Hotel,"District 1, Ho Chi Minh City",1.1,km,6.6,5 adult,null,"2,228,700"
Melinda Hotel,"Tan Binh, Ho Chi Minh City",6.7,km,7.2,5 adult,null,"1,130,000"
Ngoc Linh Hotel,"Binh Thanh, Ho Chi Minh City",5.3,km,7.6,5 adult,20m˝,"936,000"
Phu Gia Hotel 193 Nguyen Thai Hoc Street,"District 1, Ho Chi Minh City",500,m,6.9,5 adult,null,"1,464,053"
Phuc An home,"Tan Phu District, Ho Chi Minh City",9.9,km,null,5 adult,null,"1,599,200"
RedDoorz Trang Thu 2 Hotel Le Hong Phong,"District 10, Ho Chi Minh City",2.6,km,7.5,5 adult,null,"981,180"
"C?N H? 2PN - 2WC, N?I TH?T HI?N ??I V? C? B?N T?M N?M","Binh Thanh, Ho Chi Minh City",3.6,km,null,5 adult,null,"2,880,000"
QLai House,"District 1, Ho Chi Minh City",1,km,null,5 adult,null,"3,078,000"
RedDoorz Quynh Giang Hotel Hoang Viet,"Tan Binh, Ho Chi Minh City",5.1,km,6.3,5 adult,null,"540,000"
Nh?t An Hotel,"Binh Thanh, Ho Chi Minh City",4.6,km,5.9,5 adult,null,"1,000,000"
Luxury Gold Apartment 86- Millenium - Central city,"District 4, Ho Chi Minh City",0.9,km,8.7,5 adult,120m˝,"3,000,000"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,5 adult,null,"1,220,000"
Nh? Uyàn Service Apartment SOHO,"District 1, Ho Chi Minh City",1,km,9,5 adult,40m˝,"3,120,000"
La Casona Hotel,"District 7, Ho Chi Minh City",4.5,km,8.9,5 adult,25m˝,"1,561,518"
HANZ Happy Hotel,"District 10, Ho Chi Minh City",2.3,km,5,5 adult,null,"2,445,300"
The Saigon Royal one bedroom stunning view,"District 4, Ho Chi Minh City",0.8,km,8.3,5 adult,null,"2,000,000"
kh†ch s?n Thiàn Cung,"Tan Binh, Ho Chi Minh City",6.1,km,6.7,5 adult,null,"1,530,000"
C?n h? Orchard Parkview - Tan Son Nhat Airport Homestay,"Phu Nhuan, Ho Chi Minh City",5,km,8.9,5 adult,36m˝,"1,850,000"
Air Star Hotel,"Tan Binh, Ho Chi Minh City",5.3,km,8,5 adult,null,"2,458,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,5 adult,25m˝,"3,800,000"
RedDoorz Plus near Ben Thanh Market,"District 1, Ho Chi Minh City",0.9,km,6.5,5 adult,null,"1,580,886"
Sunflowers Hotel,"Tan Binh, Ho Chi Minh City",5.4,km,6.7,5 adult,null,"1,319,625"
Sophia Hotel,"District 1, Ho Chi Minh City",1.1,km,6.6,5 adult,null,"2,228,700"
Melinda Hotel,"Tan Binh, Ho Chi Minh City",6.7,km,7.2,5 adult,null,"1,130,000"
Ngoc Linh Hotel,"Binh Thanh, Ho Chi Minh City",5.3,km,7.6,5 adult,20m˝,"936,000"
Phu Gia Hotel 193 Nguyen Thai Hoc Street,"District 1, Ho Chi Minh City",500,m,6.9,5 adult,null,"1,464,053"
Phuc An home,"Tan Phu District, Ho Chi Minh City",9.9,km,null,5 adult,null,"1,599,200"
RedDoorz Trang Thu 2 Hotel Le Hong Phong,"District 10, Ho Chi Minh City",2.6,km,7.5,5 adult,null,"981,180"
"C?N H? 2PN - 2WC, N?I TH?T HI?N ??I V? C? B?N T?M N?M","Binh Thanh, Ho Chi Minh City",3.6,km,null,5 adult,null,"2,880,000"
QLai House,"District 1, Ho Chi Minh City",1,km,null,5 adult,null,"3,078,000"
RedDoorz Quynh Giang Hotel Hoang Viet,"Tan Binh, Ho Chi Minh City",5.1,km,6.3,5 adult,null,"540,000"
Nh?t An Hotel,"Binh Thanh, Ho Chi Minh City",4.6,km,5.9,5 adult,null,"1,000,000"
Luxury Gold Apartment 86- Millenium - Central city,"District 4, Ho Chi Minh City",0.9,km,8.7,5 adult,120m˝,"3,000,000"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,5 adult,null,"1,220,000"
Nh? Uyàn Service Apartment SOHO,"District 1, Ho Chi Minh City",1,km,9,5 adult,40m˝,"3,120,000"
La Casona Hotel,"District 7, Ho Chi Minh City",4.5,km,8.9,5 adult,25m˝,"1,561,518"
HANZ Happy Hotel,"District 10, Ho Chi Minh City",2.3,km,5,5 adult,null,"2,445,300"
The Saigon Royal one bedroom stunning view,"District 4, Ho Chi Minh City",0.8,km,8.3,5 adult,null,"2,000,000"
kh†ch s?n Thiàn Cung,"Tan Binh, Ho Chi Minh City",6.1,km,6.7,5 adult,null,"1,530,000"
C?n h? Orchard Parkview - Tan Son Nhat Airport Homestay,"Phu Nhuan, Ho Chi Minh City",5,km,8.9,5 adult,36m˝,"1,850,000"
Air Star Hotel,"Tan Binh, Ho Chi Minh City",5.3,km,8,5 adult,null,"2,458,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,5 adult,25m˝,"3,800,000"
RedDoorz Plus near Ben Thanh Market,"District 1, Ho Chi Minh City",0.9,km,6.5,5 adult,null,"1,580,886"
Sunflowers Hotel,"Tan Binh, Ho Chi Minh City",5.4,km,6.7,5 adult,null,"1,319,625"
Sophia Hotel,"District 1, Ho Chi Minh City",1.1,km,6.6,5 adult,null,"2,228,700"
Melinda Hotel,"Tan Binh, Ho Chi Minh City",6.7,km,7.2,5 adult,null,"1,130,000"
Ngoc Linh Hotel,"Binh Thanh, Ho Chi Minh City",5.3,km,7.6,5 adult,20m˝,"936,000"
Phu Gia Hotel 193 Nguyen Thai Hoc Street,"District 1, Ho Chi Minh City",500,m,6.9,5 adult,null,"1,464,053"
Phuc An home,"Tan Phu District, Ho Chi Minh City",9.9,km,null,5 adult,null,"1,599,200"
RedDoorz Trang Thu 2 Hotel Le Hong Phong,"District 10, Ho Chi Minh City",2.6,km,7.5,5 adult,null,"981,180"
"C?N H? 2PN - 2WC, N?I TH?T HI?N ??I V? C? B?N T?M N?M","Binh Thanh, Ho Chi Minh City",3.6,km,null,5 adult,null,"2,880,000"
QLai House,"District 1, Ho Chi Minh City",1,km,null,5 adult,null,"3,078,000"
RedDoorz Quynh Giang Hotel Hoang Viet,"Tan Binh, Ho Chi Minh City",5.1,km,6.3,5 adult,null,"540,000"
Nh?t An Hotel,"Binh Thanh, Ho Chi Minh City",4.6,km,5.9,5 adult,null,"1,000,000"
Luxury Gold Apartment 86- Millenium - Central city,"District 4, Ho Chi Minh City",0.9,km,8.7,5 adult,120m˝,"3,000,000"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,5 adult,null,"1,220,000"
Nh? Uyàn Service Apartment SOHO,"District 1, Ho Chi Minh City",1,km,9,5 adult,40m˝,"3,120,000"
La Casona Hotel,"District 7, Ho Chi Minh City",4.5,km,8.9,5 adult,25m˝,"1,561,518"
HANZ Happy Hotel,"District 10, Ho Chi Minh City",2.3,km,5,5 adult,null,"2,445,300"
The Saigon Royal one bedroom stunning view,"District 4, Ho Chi Minh City",0.8,km,8.3,5 adult,null,"2,000,000"
kh†ch s?n Thiàn Cung,"Tan Binh, Ho Chi Minh City",6.1,km,6.7,5 adult,null,"1,530,000"
C?n h? Orchard Parkview - Tan Son Nhat Airport Homestay,"Phu Nhuan, Ho Chi Minh City",5,km,8.9,5 adult,36m˝,"1,850,000"
Air Star Hotel,"Tan Binh, Ho Chi Minh City",5.3,km,8,5 adult,null,"2,458,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,5 adult,25m˝,"3,800,000"
RedDoorz Plus near Ben Thanh Market,"District 1, Ho Chi Minh City",0.9,km,6.5,5 adult,null,"1,580,886"
Sunflowers Hotel,"Tan Binh, Ho Chi Minh City",5.4,km,6.7,5 adult,null,"1,319,625"
Sophia Hotel,"District 1, Ho Chi Minh City",1.1,km,6.6,5 adult,null,"2,228,700"
Melinda Hotel,"Tan Binh, Ho Chi Minh City",6.7,km,7.2,5 adult,null,"1,130,000"
Ngoc Linh Hotel,"Binh Thanh, Ho Chi Minh City",5.3,km,7.6,5 adult,20m˝,"936,000"
Phu Gia Hotel 193 Nguyen Thai Hoc Street,"District 1, Ho Chi Minh City",500,m,6.9,5 adult,null,"1,464,053"
Phuc An home,"Tan Phu District, Ho Chi Minh City",9.9,km,null,5 adult,null,"1,599,200"
RedDoorz Trang Thu 2 Hotel Le Hong Phong,"District 10, Ho Chi Minh City",2.6,km,7.5,5 adult,null,"981,180"
"C?N H? 2PN - 2WC, N?I TH?T HI?N ??I V? C? B?N T?M N?M","Binh Thanh, Ho Chi Minh City",3.6,km,null,5 adult,null,"2,880,000"
QLai House,"District 1, Ho Chi Minh City",1,km,null,5 adult,null,"3,078,000"
RedDoorz Quynh Giang Hotel Hoang Viet,"Tan Binh, Ho Chi Minh City",5.1,km,6.3,5 adult,null,"540,000"
Nh?t An Hotel,"Binh Thanh, Ho Chi Minh City",4.6,km,5.9,5 adult,null,"1,000,000"
Luxury Gold Apartment 86- Millenium - Central city,"District 4, Ho Chi Minh City",0.9,km,8.7,5 adult,120m˝,"3,000,000"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,5 adult,null,"1,220,000"
Nh? Uyàn Service Apartment SOHO,"District 1, Ho Chi Minh City",1,km,9,5 adult,40m˝,"3,120,000"
La Casona Hotel,"District 7, Ho Chi Minh City",4.5,km,8.9,5 adult,25m˝,"1,561,518"
HANZ Happy Hotel,"District 10, Ho Chi Minh City",2.3,km,5,5 adult,null,"2,445,300"
The Saigon Royal one bedroom stunning view,"District 4, Ho Chi Minh City",0.8,km,8.3,5 adult,null,"2,000,000"
kh†ch s?n Thiàn Cung,"Tan Binh, Ho Chi Minh City",6.1,km,6.7,5 adult,null,"1,530,000"
C?n h? Orchard Parkview - Tan Son Nhat Airport Homestay,"Phu Nhuan, Ho Chi Minh City",5,km,8.9,5 adult,36m˝,"1,850,000"
Air Star Hotel,"Tan Binh, Ho Chi Minh City",5.3,km,8,5 adult,null,"2,458,000"
Celine Living - Central,"District 3, Ho Chi Minh City",1.4,km,8.8,5 adult,25m˝,"3,800,000"
RedDoorz Plus near Ben Thanh Market,"District 1, Ho Chi Minh City",0.9,km,6.5,5 adult,null,"1,580,886"
Sunflowers Hotel,"Tan Binh, Ho Chi Minh City",5.4,km,6.7,5 adult,null,"1,319,625"
Sophia Hotel,"District 1, Ho Chi Minh City",1.1,km,6.6,5 adult,null,"2,228,700"
Melinda Hotel,"Tan Binh, Ho Chi Minh City",6.7,km,7.2,5 adult,null,"1,130,000"
Ngoc Linh Hotel,"Binh Thanh, Ho Chi Minh City",5.3,km,7.6,5 adult,20m˝,"936,000"
Phu Gia Hotel 193 Nguyen Thai Hoc Street,"District 1, Ho Chi Minh City",500,m,6.9,5 adult,null,"1,464,053"
Phuc An home,"Tan Phu District, Ho Chi Minh City",9.9,km,null,5 adult,null,"1,599,200"
RedDoorz Trang Thu 2 Hotel Le Hong Phong,"District 10, Ho Chi Minh City",2.6,km,7.5,5 adult,null,"981,180"
"C?N H? 2PN - 2WC, N?I TH?T HI?N ??I V? C? B?N T?M N?M","Binh Thanh, Ho Chi Minh City",3.6,km,null,5 adult,null,"2,880,000"
QLai House,"District 1, Ho Chi Minh City",1,km,null,5 adult,null,"3,078,000"
RedDoorz Quynh Giang Hotel Hoang Viet,"Tan Binh, Ho Chi Minh City",5.1,km,6.3,5 adult,null,"540,000"
Nh?t An Hotel,"Binh Thanh, Ho Chi Minh City",4.6,km,5.9,5 adult,null,"1,000,000"
Luxury Gold Apartment 86- Millenium - Central city,"District 4, Ho Chi Minh City",0.9,km,8.7,5 adult,120m˝,"3,000,000"
REDFLOWER HOTEL,"District 1, Ho Chi Minh City",2.4,km,6.9,5 adult,null,"1,220,000"
Nh? Uyàn Service Apartment SOHO,"District 1, Ho Chi Minh City",1,km,9,5 adult,40m˝,"3,120,000"
La Casona Hotel,"District 7, Ho Chi Minh City",4.5,km,8.9,5 adult,25m˝,"1,561,518"
HANZ Happy Hotel,"District 10, Ho Chi Minh City",2.3,km,5,5 adult,null,"2,445,300"
The Saigon Royal one bedroom stunning view,"District 4, Ho Chi Minh City",0.8,km,8.3,5 adult,null,"2,000,000"
kh†ch s?n Thiàn Cung,"Tan Binh, Ho Chi Minh City",6.1,km,6.7,5 adult,null,"1,530,000"
C?n h? Orchard Parkview - Tan Son Nhat Airport Homestay,"Phu Nhuan, Ho Chi Minh City",5,km,8.9,5 adult,36m˝,"1,850,000"
