district,city,distance,area,rating,price,facilities
District 1,Ho Chi Minh City,1900,40,"6,6",481500,"Kitchen,View,Washing-machine,Free-WiFi,Balcony,Air-conditioning,Private-Bathroom,24-hour-front-desk,Non-smoking-rooms,Safe"
District 10,Ho Chi Minh City,3700,35,"7,6",1397997,
Tan Binh,Ho Chi Minh City,5800,35,"8,7",3118590,"View,Swimming-pool,BBQ-facilities,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping,Non-smoking-rooms"
District 4,Ho Chi Minh City,1000,28,"8,7",1190000,"Kitchen,City-view,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk"
District 2,Ho Chi Minh City,5000,35,"8,1",887443,"Apartments,Kitchen,View,Garden,Washing-machine,Free-WiFi,Terrace,Balcony,Air-conditioning,Private-Bathroom"
District 1,Ho Chi Minh City,1400,13,"8,9",1422523,
District 1,Ho Chi Minh City,1300,35,"8,5",878465,
District 1,Ho Chi Minh City,800,25,"7,7",405000,"Apartments,Kitchen,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,Parking-on-site"
District 3,Ho Chi Minh City,2400,25,"9,5",520000,
Phu Nhuan,Ho Chi Minh City,3600,25,"7,5",520000,
Tan Binh,Ho Chi Minh City,4500,35,"8,3",2343363,"View,Garden,Swimming-pool,Free-WiFi,Free-parking,Bathtub,Air-conditioning,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 3,Ho Chi Minh City,1300,34,"8,7",660000,"Apartments,Kitchen,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk,Daily-housekeeping,Non-smoking-rooms,Safe"
Binh Thanh,Ho Chi Minh City,3300,40,"7,2",650000,"Kitchen,City-view,Pet-friendly,Washing-machine,Free-WiFi,Balcony,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk"
District 1,Ho Chi Minh City,3100,35,"8,6",509392,"Houses,Kitchen,Free-WiFi,Air-conditioning,Private-Bathroom,Key-card-access,Non-smoking-rooms,Baggage-storage"
District 1,Ho Chi Minh City,450,62,"8,6",2197650,"Apartments,Kitchen,City-view,Garden,Swimming-pool,Washing-machine,Free-WiFi,Balcony,Bathtub,Air-conditioning"
District 1,Ho Chi Minh City,700,35,"7,4",670463,
Go Vap District ,Ho Chi Minh City,5000,36,"7,9",578200,"Apartments,Kitchen,Garden,Swimming-pool,BBQ-facilities,Free-WiFi,Balcony,Free-parking,Air-conditioning,Private-Bathroom"
District 1,Ho Chi Minh City,1700,14,"8,9",480000,"Free-WiFi,Air-conditioning,Private-Bathroom"
Tan Binh,Ho Chi Minh City,6000,57,"8,5",1190000,"Entire-apartment,Size,Kitchen,View,Garden,Swimming-pool,Washing-machine,Free-WiFi,Air-conditioning,Sauna"
District 4,Ho Chi Minh City,1000,35,"8,4",1000000,"Apartments,Garden,Swimming-pool,Free-WiFi,Private-Bathroom,24-hour-front-desk,Key-card-access,Non-smoking-rooms,Elevator,Parking-on-site"
Binh Thanh,Ho Chi Minh City,4200,49,"8,6",1403903,"City-view,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping,Non-smoking-rooms,Baggage-storage"
District 1,Ho Chi Minh City,350,35,"7,4",1102738,
District 1,Ho Chi Minh City,800,35,"9,5",1173723,
Binh Thanh,Ho Chi Minh City,2300,32,"8,6",750000,"Apartments,Kitchen,City-view,Garden,Free-WiFi,Bathtub,Air-conditioning,Key-card-access,Daily-housekeeping,Elevator"
District 4,Ho Chi Minh City,1000,28,"9,2",1040000,"Apartments,Kitchen,River-view,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Free-WiFi,Air-conditioning,Private-Bathroom"
District 1,Ho Chi Minh City,500,35,"7,7",752532,
District 1,Ho Chi Minh City,1300,29,"8,7",633600,
District 1,Ho Chi Minh City,600,35,"7,5",825840,
District 2,Ho Chi Minh City,5000,20,"8,4",819000,"Apartments,Kitchen,City-view,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 1,Ho Chi Minh City,500,35,"7,7",752532,
District 1,Ho Chi Minh City,600,35,"7,5",825840,
District 2,Ho Chi Minh City,5000,20,"8,4",819000,"Apartments,Kitchen,City-view,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 1,Ho Chi Minh City,1700,14,"8,9",480000,"Free-WiFi,Air-conditioning,Private-Bathroom"
