district,city,distance,area,rating,price,facilities
Binh Thanh,Ho Chi Minh City,2400,26,8.8,990012,"Apartments,Kitchen,Garden,Free-WiFi,Bathtub,Air-conditioning,24-hour-front-desk,Key-card-access,Daily-housekeeping,Non-smoking-rooms"
,Ho Chi Minh City,9900,71,,800000,"Entire-apartment,Size,Kitchen,View,Pet-friendly,Swimming-pool,Washing-machine,Free-WiFi,Balcony,Air-conditioning"
Binh Thanh,Ho Chi Minh City,3500,55,8.6,2275000,"Kitchen,City-view,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Balcony,Air-conditioning,Private-Bathroom,24-hour-front-desk"
District 1,Ho Chi Minh City,600,30,9.2,800000,"Apartments,Kitchen,Washing-machine,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,Key-card-access,Non-smoking-rooms,Elevator"
District 4,Ho Chi Minh City,1000,28,8.8,1150000,"Kitchen,City-view,Swimming-pool,Washing-machine,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping"
,Ho Chi Minh City,1800,82,,1120000,"Entire-apartment,Size,Kitchen,View,Swimming-pool,Washing-machine,Free-WiFi,Terrace,Balcony,Air-conditioning"
,Ho Chi Minh City,3500,54,,936000,"Entire-apartment,Size,Kitchen,City-view,Pet-friendly,Swimming-pool,Washing-machine,Free-WiFi,Balcony,Bathtub"
District 7,Ho Chi Minh City,5000,25,8.8,633600,"City-view,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,Key-card-access,Daily-housekeeping,Non-smoking-rooms,Safe,Baggage-storage"
,Ho Chi Minh City,6400,#VALUE!,,960000,"Entire-apartment,Kitchen,View,Swimming-pool,Washing-machine,Free-WiFi,Balcony,Air-conditioning,Parking-on-site"
,Ho Chi Minh City,6400,#VALUE!,,960000,"Entire-apartment,Kitchen,View,Swimming-pool,Washing-machine,Free-WiFi,Balcony,Air-conditioning,Parking-on-site"
District 1,Ho Chi Minh City,2400,25,8.8,400000,"Apartments,Kitchen,Free-WiFi,Air-conditioning,Private-Bathroom,Daily-housekeeping,Non-smoking-rooms,Elevator,Parking-on-site,Grocery-deliveries"
District 3,Ho Chi Minh City,1100,#VALUE!,8.8,1629817,
,Ho Chi Minh City,1000,55,,1152000,"Entire-apartment,Size,Kitchen,View,Free-WiFi,Terrace,Balcony,Air-conditioning,Parking-on-site"
District 4,Ho Chi Minh City,1000,28,8.7,1190000,"Kitchen,City-view,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk"
District 1,Ho Chi Minh City,700,#VALUE!,8.2,1102500,
District 4,Ho Chi Minh City,800,32,8.6,1551000,"Kitchen,City-view,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Free-WiFi,Terrace,Air-conditioning,Private-Bathroom"
District 4,Ho Chi Minh City,1000,30,8.2,1250000,"Kitchen,City-view,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Free-WiFi,Air-conditioning,Private-Bathroom,Non-smoking-rooms"
District 1,Ho Chi Minh City,2700,27,8.3,1083348,
District 1,Ho Chi Minh City,600,30,9.2,800000,"Apartments,Kitchen,Washing-machine,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,Key-card-access,Non-smoking-rooms,Elevator"
Binh Thanh,Ho Chi Minh City,3500,53,8,2100000,"Kitchen,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 1,Ho Chi Minh City,900,45,8.4,1187560,"Apartments,Kitchen,View,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk,Daily-housekeeping,Non-smoking-rooms,Safe"
District 4,Ho Chi Minh City,1000,28,8.8,1150000,"Kitchen,City-view,Swimming-pool,Washing-machine,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 1,Ho Chi Minh City,600,#VALUE!,8.8,3116486,
District 1,Ho Chi Minh City,250,#VALUE!,8.1,998990,
District 1,Ho Chi Minh City,1900,40,6.6,481500,"Kitchen,View,Washing-machine,Free-WiFi,Balcony,Air-conditioning,Private-Bathroom,24-hour-front-desk,Non-smoking-rooms,Safe"
District 10,Ho Chi Minh City,3700,#VALUE!,7.6,1397997,
Tan Binh,Ho Chi Minh City,5800,#VALUE!,8.7,3118590,"View,Swimming-pool,BBQ-facilities,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping,Non-smoking-rooms"
District 4,Ho Chi Minh City,1000,28,8.7,1190000,"Kitchen,City-view,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk"
District 2,Ho Chi Minh City,5000,35,8.1,887443,"Apartments,Kitchen,View,Garden,Washing-machine,Free-WiFi,Terrace,Balcony,Air-conditioning,Private-Bathroom"
District 1,Ho Chi Minh City,1400,13,8.9,1422523,
District 1,Ho Chi Minh City,1300,#VALUE!,8.5,878465,
District 1,Ho Chi Minh City,800,25,7.7,405000,"Apartments,Kitchen,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,Parking-on-site"
District 3,Ho Chi Minh City,2400,25,9.5,520000,
Phu Nhuan,Ho Chi Minh City,3600,25,7.5,520000,
Tan Binh,Ho Chi Minh City,4500,#VALUE!,8.3,2343363,"View,Garden,Swimming-pool,Free-WiFi,Free-parking,Bathtub,Air-conditioning,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 3,Ho Chi Minh City,1300,34,8.7,660000,"Apartments,Kitchen,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk,Daily-housekeeping,Non-smoking-rooms,Safe"
Binh Thanh,Ho Chi Minh City,3300,40,7.2,650000,"Kitchen,City-view,Pet-friendly,Washing-machine,Free-WiFi,Balcony,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk"
District 1,Ho Chi Minh City,3100,#VALUE!,8.6,509392,"Houses,Kitchen,Free-WiFi,Air-conditioning,Private-Bathroom,Key-card-access,Non-smoking-rooms,Baggage-storage"
District 1,Ho Chi Minh City,450,62,8.6,2197650,"Apartments,Kitchen,City-view,Garden,Swimming-pool,Washing-machine,Free-WiFi,Balcony,Bathtub,Air-conditioning"
District 1,Ho Chi Minh City,700,#VALUE!,7.4,670463,
Go Vap District ,Ho Chi Minh City,5000,36,7.9,578200,"Apartments,Kitchen,Garden,Swimming-pool,BBQ-facilities,Free-WiFi,Balcony,Free-parking,Air-conditioning,Private-Bathroom"
District 1,Ho Chi Minh City,1700,14,8.9,480000,"Free-WiFi,Air-conditioning,Private-Bathroom"
Tan Binh,Ho Chi Minh City,6000,57,8.5,1190000,"Entire-apartment,Size,Kitchen,View,Garden,Swimming-pool,Washing-machine,Free-WiFi,Air-conditioning,Sauna"
District 4,Ho Chi Minh City,1000,35,8.4,1000000,"Apartments,Garden,Swimming-pool,Free-WiFi,Private-Bathroom,24-hour-front-desk,Key-card-access,Non-smoking-rooms,Elevator,Parking-on-site"
Binh Thanh,Ho Chi Minh City,4200,49,8.6,1403903,"City-view,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping,Non-smoking-rooms,Baggage-storage"
District 1,Ho Chi Minh City,350,#VALUE!,7.4,1102738,
District 1,Ho Chi Minh City,800,#VALUE!,9.5,1173723,
Binh Thanh,Ho Chi Minh City,2300,32,8.6,750000,"Apartments,Kitchen,City-view,Garden,Free-WiFi,Bathtub,Air-conditioning,Key-card-access,Daily-housekeeping,Elevator"
District 4,Ho Chi Minh City,1000,28,9.2,1040000,"Apartments,Kitchen,River-view,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Free-WiFi,Air-conditioning,Private-Bathroom"
District 1,Ho Chi Minh City,500,#VALUE!,7.7,752532,
District 1,Ho Chi Minh City,1300,29,8.7,633600,
District 1,Ho Chi Minh City,600,#VALUE!,7.5,825840,
District 2,Ho Chi Minh City,5000,20,8.4,819000,"Apartments,Kitchen,City-view,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 1,Ho Chi Minh City,500,#VALUE!,7.7,752532,
District 1,Ho Chi Minh City,600,#VALUE!,7.5,825840,
District 2,Ho Chi Minh City,5000,20,8.4,819000,"Apartments,Kitchen,City-view,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 1,Ho Chi Minh City,1700,14,8.9,480000,"Free-WiFi,Air-conditioning,Private-Bathroom"
Go Vap District ,Ho Chi Minh City,5000,36,7.9,578200,"Apartments,Kitchen,Garden,Swimming-pool,BBQ-facilities,Free-WiFi,Balcony,Free-parking,Air-conditioning,Private-Bathroom"
Phu Nhuan,Ho Chi Minh City,3600,25,7.5,520000,
District 1,Ho Chi Minh City,1300,#VALUE!,8.5,878465,
District 1,Ho Chi Minh City,1300,29,8.7,633600,
District 4,Ho Chi Minh City,1000,28,9.2,1040000,"Apartments,Kitchen,River-view,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Free-WiFi,Air-conditioning,Private-Bathroom"
Binh Thanh,Ho Chi Minh City,2300,32,8.6,750000,"Apartments,Kitchen,City-view,Garden,Free-WiFi,Bathtub,Air-conditioning,Key-card-access,Daily-housekeeping,Elevator"
District 3,Ho Chi Minh City,2400,25,9.5,520000,
District 1,Ho Chi Minh City,800,#VALUE!,9.5,1146367,
District 1,Ho Chi Minh City,1400,13,8.9,1422523,
District 1,Ho Chi Minh City,350,28,7.4,2490004,
District 3,Ho Chi Minh City,1300,34,8.7,660000,"Apartments,Kitchen,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk,Daily-housekeeping,Non-smoking-rooms,Safe"
Binh Thanh,Ho Chi Minh City,4200,49,8.6,1403903,"City-view,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping,Non-smoking-rooms,Baggage-storage"
Binh Thanh,Ho Chi Minh City,3300,40,7.2,650000,"Kitchen,City-view,Pet-friendly,Washing-machine,Free-WiFi,Balcony,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk"
District 4,Ho Chi Minh City,1000,35,8.4,1000000,"Apartments,Garden,Swimming-pool,Free-WiFi,Private-Bathroom,24-hour-front-desk,Key-card-access,Non-smoking-rooms,Elevator,Parking-on-site"
Tan Binh,Ho Chi Minh City,6000,57,8.5,1190000,"Entire-apartment,Size,Kitchen,View,Garden,Swimming-pool,Washing-machine,Free-WiFi,Air-conditioning,Sauna"
District 1,Ho Chi Minh City,1900,40,6.6,481500,"Kitchen,View,Washing-machine,Free-WiFi,Balcony,Air-conditioning,Private-Bathroom,24-hour-front-desk,Non-smoking-rooms,Safe"
District 1,Ho Chi Minh City,700,#VALUE!,7.4,670463,
District 1,Ho Chi Minh City,3100,#VALUE!,8.6,509392,"Houses,Kitchen,Free-WiFi,Air-conditioning,Private-Bathroom,Key-card-access,Non-smoking-rooms,Baggage-storage"
District 1,Ho Chi Minh City,2400,25,8.8,400000,"Apartments,Kitchen,Free-WiFi,Air-conditioning,Private-Bathroom,Daily-housekeeping,Non-smoking-rooms,Elevator,Parking-on-site,Grocery-deliveries"
District 1,Ho Chi Minh City,450,62,8.6,2197650,"Apartments,Kitchen,City-view,Garden,Swimming-pool,Washing-machine,Free-WiFi,Balcony,Bathtub,Air-conditioning"
District 4,Ho Chi Minh City,800,32,8.6,1551000,"Kitchen,City-view,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Free-WiFi,Terrace,Air-conditioning,Private-Bathroom"
Tan Binh,Ho Chi Minh City,4500,#VALUE!,8.3,2343363,"View,Garden,Swimming-pool,Free-WiFi,Free-parking,Bathtub,Air-conditioning,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 1,Ho Chi Minh City,600,#VALUE!,8.8,3116486,
District 1,Ho Chi Minh City,800,25,7.7,405000,"Apartments,Kitchen,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,Parking-on-site"
District 2,Ho Chi Minh City,5000,35,8.1,887443,"Apartments,Kitchen,View,Garden,Washing-machine,Free-WiFi,Terrace,Balcony,Air-conditioning,Private-Bathroom"
District 1,Ho Chi Minh City,900,45,8.4,1187560,"Apartments,Kitchen,View,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk,Daily-housekeeping,Non-smoking-rooms,Safe"
District 1,Ho Chi Minh City,2700,27,8.3,1083348,
District 10,Ho Chi Minh City,3700,#VALUE!,7.6,1397525,
Tan Binh,Ho Chi Minh City,5800,#VALUE!,8.7,3118590,"View,Swimming-pool,BBQ-facilities,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping,Non-smoking-rooms"
District 1,Ho Chi Minh City,250,#VALUE!,8.1,998990,
District 1,Ho Chi Minh City,600,30,9.2,800000,"Apartments,Kitchen,Washing-machine,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,Key-card-access,Non-smoking-rooms,Elevator"
District 1,Ho Chi Minh City,600,30,9.2,800000,"Apartments,Kitchen,Washing-machine,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,Key-card-access,Non-smoking-rooms,Elevator"
Binh Thanh,Ho Chi Minh City,3500,53,8,2100000,"Kitchen,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 1,Ho Chi Minh City,900,45,8.4,1187560,"Apartments,Kitchen,View,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk,Daily-housekeeping,Non-smoking-rooms,Safe"
District 4,Ho Chi Minh City,1000,28,8.8,1150000,"Kitchen,City-view,Swimming-pool,Washing-machine,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 1,Ho Chi Minh City,600,#VALUE!,8.8,3116486,
District 1,Ho Chi Minh City,250,#VALUE!,8.1,998990,
District 1,Ho Chi Minh City,1900,40,6.6,481500,"Kitchen,View,Washing-machine,Free-WiFi,Balcony,Air-conditioning,Private-Bathroom,24-hour-front-desk,Non-smoking-rooms,Safe"
District 10,Ho Chi Minh City,3700,#VALUE!,7.6,1397997,
Tan Binh,Ho Chi Minh City,5800,#VALUE!,8.7,3118590,"View,Swimming-pool,BBQ-facilities,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping,Non-smoking-rooms"
District 4,Ho Chi Minh City,1000,28,8.7,1190000,"Kitchen,City-view,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk"
District 2,Ho Chi Minh City,5000,35,8.1,887443,"Apartments,Kitchen,View,Garden,Washing-machine,Free-WiFi,Terrace,Balcony,Air-conditioning,Private-Bathroom"
District 1,Ho Chi Minh City,1400,13,8.9,1422523,
District 1,Ho Chi Minh City,1300,#VALUE!,8.5,878465,
District 1,Ho Chi Minh City,800,25,7.7,405000,"Apartments,Kitchen,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,Parking-on-site"
District 3,Ho Chi Minh City,2400,25,9.5,520000,
Phu Nhuan,Ho Chi Minh City,3600,25,7.5,520000,
Tan Binh,Ho Chi Minh City,4500,#VALUE!,8.3,2343363,"View,Garden,Swimming-pool,Free-WiFi,Free-parking,Bathtub,Air-conditioning,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 3,Ho Chi Minh City,1300,34,8.7,660000,"Apartments,Kitchen,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk,Daily-housekeeping,Non-smoking-rooms,Safe"
Binh Thanh,Ho Chi Minh City,3300,40,7.2,650000,"Kitchen,City-view,Pet-friendly,Washing-machine,Free-WiFi,Balcony,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk"
District 1,Ho Chi Minh City,3100,#VALUE!,8.6,509392,"Houses,Kitchen,Free-WiFi,Air-conditioning,Private-Bathroom,Key-card-access,Non-smoking-rooms,Baggage-storage"
District 1,Ho Chi Minh City,450,62,8.6,2197650,"Apartments,Kitchen,City-view,Garden,Swimming-pool,Washing-machine,Free-WiFi,Balcony,Bathtub,Air-conditioning"
District 1,Ho Chi Minh City,700,#VALUE!,7.4,670463,
Go Vap District ,Ho Chi Minh City,5000,36,7.9,578200,"Apartments,Kitchen,Garden,Swimming-pool,BBQ-facilities,Free-WiFi,Balcony,Free-parking,Air-conditioning,Private-Bathroom"
District 1,Ho Chi Minh City,1700,14,8.9,480000,"Free-WiFi,Air-conditioning,Private-Bathroom"
Tan Binh,Ho Chi Minh City,6000,57,8.5,1190000,"Entire-apartment,Size,Kitchen,View,Garden,Swimming-pool,Washing-machine,Free-WiFi,Air-conditioning,Sauna"
District 4,Ho Chi Minh City,1000,35,8.4,1000000,"Apartments,Garden,Swimming-pool,Free-WiFi,Private-Bathroom,24-hour-front-desk,Key-card-access,Non-smoking-rooms,Elevator,Parking-on-site"
Binh Thanh,Ho Chi Minh City,4200,49,8.6,1403903,"City-view,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping,Non-smoking-rooms,Baggage-storage"
District 1,Ho Chi Minh City,350,#VALUE!,7.4,1102738,
District 1,Ho Chi Minh City,800,#VALUE!,9.5,1173723,
Binh Thanh,Ho Chi Minh City,2300,32,8.6,750000,"Apartments,Kitchen,City-view,Garden,Free-WiFi,Bathtub,Air-conditioning,Key-card-access,Daily-housekeeping,Elevator"
District 4,Ho Chi Minh City,1000,28,9.2,1040000,"Apartments,Kitchen,River-view,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Free-WiFi,Air-conditioning,Private-Bathroom"
District 1,Ho Chi Minh City,500,#VALUE!,7.7,752532,
District 1,Ho Chi Minh City,1300,29,8.7,633600,
District 1,Ho Chi Minh City,600,#VALUE!,7.5,825840,
District 2,Ho Chi Minh City,5000,20,8.4,819000,"Apartments,Kitchen,City-view,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 1,Ho Chi Minh City,500,#VALUE!,7.7,752532,
District 1,Ho Chi Minh City,600,#VALUE!,7.5,825840,
District 2,Ho Chi Minh City,5000,20,8.4,819000,"Apartments,Kitchen,City-view,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 1,Ho Chi Minh City,1700,14,8.9,480000,"Free-WiFi,Air-conditioning,Private-Bathroom"
Go Vap District ,Ho Chi Minh City,5000,36,7.9,578200,"Apartments,Kitchen,Garden,Swimming-pool,BBQ-facilities,Free-WiFi,Balcony,Free-parking,Air-conditioning,Private-Bathroom"
Phu Nhuan,Ho Chi Minh City,3600,25,7.5,520000,
District 1,Ho Chi Minh City,1300,#VALUE!,8.5,878465,
District 1,Ho Chi Minh City,1300,29,8.7,633600,
District 4,Ho Chi Minh City,1000,28,9.2,1040000,"Apartments,Kitchen,River-view,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Free-WiFi,Air-conditioning,Private-Bathroom"
Binh Thanh,Ho Chi Minh City,2300,32,8.6,750000,"Apartments,Kitchen,City-view,Garden,Free-WiFi,Bathtub,Air-conditioning,Key-card-access,Daily-housekeeping,Elevator"
District 3,Ho Chi Minh City,2400,25,9.5,520000,
District 1,Ho Chi Minh City,800,#VALUE!,9.5,1146367,
District 1,Ho Chi Minh City,1400,13,8.9,1422523,
District 1,Ho Chi Minh City,350,28,7.4,2490004,
District 3,Ho Chi Minh City,1300,34,8.7,660000,"Apartments,Kitchen,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk,Daily-housekeeping,Non-smoking-rooms,Safe"
Binh Thanh,Ho Chi Minh City,4200,49,8.6,1403903,"City-view,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping,Non-smoking-rooms,Baggage-storage"
Binh Thanh,Ho Chi Minh City,3300,40,7.2,650000,"Kitchen,City-view,Pet-friendly,Washing-machine,Free-WiFi,Balcony,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk"
District 4,Ho Chi Minh City,1000,35,8.4,1000000,"Apartments,Garden,Swimming-pool,Free-WiFi,Private-Bathroom,24-hour-front-desk,Key-card-access,Non-smoking-rooms,Elevator,Parking-on-site"
Tan Binh,Ho Chi Minh City,6000,57,8.5,1190000,"Entire-apartment,Size,Kitchen,View,Garden,Swimming-pool,Washing-machine,Free-WiFi,Air-conditioning,Sauna"
District 1,Ho Chi Minh City,1900,40,6.6,481500,"Kitchen,View,Washing-machine,Free-WiFi,Balcony,Air-conditioning,Private-Bathroom,24-hour-front-desk,Non-smoking-rooms,Safe"
District 1,Ho Chi Minh City,700,#VALUE!,7.4,670463,
District 1,Ho Chi Minh City,3100,#VALUE!,8.6,509392,"Houses,Kitchen,Free-WiFi,Air-conditioning,Private-Bathroom,Key-card-access,Non-smoking-rooms,Baggage-storage"
District 1,Ho Chi Minh City,2400,25,8.8,400000,"Apartments,Kitchen,Free-WiFi,Air-conditioning,Private-Bathroom,Daily-housekeeping,Non-smoking-rooms,Elevator,Parking-on-site,Grocery-deliveries"
District 1,Ho Chi Minh City,450,62,8.6,2197650,"Apartments,Kitchen,City-view,Garden,Swimming-pool,Washing-machine,Free-WiFi,Balcony,Bathtub,Air-conditioning"
District 4,Ho Chi Minh City,800,32,8.6,1551000,"Kitchen,City-view,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Free-WiFi,Terrace,Air-conditioning,Private-Bathroom"
Tan Binh,Ho Chi Minh City,4500,#VALUE!,8.3,2343363,"View,Garden,Swimming-pool,Free-WiFi,Free-parking,Bathtub,Air-conditioning,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 1,Ho Chi Minh City,600,#VALUE!,8.8,3116486,
District 1,Ho Chi Minh City,800,25,7.7,405000,"Apartments,Kitchen,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,Parking-on-site"
District 2,Ho Chi Minh City,5000,35,8.1,887443,"Apartments,Kitchen,View,Garden,Washing-machine,Free-WiFi,Terrace,Balcony,Air-conditioning,Private-Bathroom"
District 1,Ho Chi Minh City,900,45,8.4,1187560,"Apartments,Kitchen,View,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk,Daily-housekeeping,Non-smoking-rooms,Safe"
District 1,Ho Chi Minh City,2700,27,8.3,1083348,
District 10,Ho Chi Minh City,3700,#VALUE!,7.6,1397525,
Tan Binh,Ho Chi Minh City,5800,#VALUE!,8.7,3118590,"View,Swimming-pool,BBQ-facilities,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping,Non-smoking-rooms"
District 1,Ho Chi Minh City,250,#VALUE!,8.1,998990,
District 1,Ho Chi Minh City,600,30,9.2,800000,"Apartments,Kitchen,Washing-machine,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,Key-card-access,Non-smoking-rooms,Elevator"
District 1,Ho Chi Minh City,600,30,9.2,800000,"Apartments,Kitchen,Washing-machine,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,Key-card-access,Non-smoking-rooms,Elevator"
Binh Thanh,Ho Chi Minh City,3500,53,8,2100000,"Kitchen,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 1,Ho Chi Minh City,900,45,8.4,1187560,"Apartments,Kitchen,View,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk,Daily-housekeeping,Non-smoking-rooms,Safe"
District 4,Ho Chi Minh City,1000,28,8.8,1150000,"Kitchen,City-view,Swimming-pool,Washing-machine,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 1,Ho Chi Minh City,600,#VALUE!,8.8,3116486,
District 1,Ho Chi Minh City,250,#VALUE!,8.1,998990,
District 1,Ho Chi Minh City,1900,40,6.6,481500,"Kitchen,View,Washing-machine,Free-WiFi,Balcony,Air-conditioning,Private-Bathroom,24-hour-front-desk,Non-smoking-rooms,Safe"
District 10,Ho Chi Minh City,3700,#VALUE!,7.6,1397997,
Tan Binh,Ho Chi Minh City,5800,#VALUE!,8.7,3118590,"View,Swimming-pool,BBQ-facilities,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping,Non-smoking-rooms"
District 4,Ho Chi Minh City,1000,28,8.7,1190000,"Kitchen,City-view,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Free-WiFi,Air-conditioning,Private-Bathroom,24-hour-front-desk"
District 2,Ho Chi Minh City,5000,35,8.1,887443,"Apartments,Kitchen,View,Garden,Washing-machine,Free-WiFi,Terrace,Balcony,Air-conditioning,Private-Bathroom"
District 1,Ho Chi Minh City,1400,13,8.9,1422523,
District 1,Ho Chi Minh City,1300,#VALUE!,8.5,878465,
District 1,Ho Chi Minh City,800,25,7.7,405000,"Apartments,Kitchen,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,Parking-on-site"
District 3,Ho Chi Minh City,2400,25,9.5,520000,
Phu Nhuan,Ho Chi Minh City,3600,25,7.5,520000,
